City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,fort bragg,35.139,-79.006,20.85,45,0,3.09,US,1715473028
269,dryden,49.7833,-92.7503,18.16,36,40,9.26,CA,1715473029
270,bor,56.3567,44.0669,0.96,91,59,2.97,RU,1715473030
271,arraial do cabo,-22.9661,-42.0278,24.47,91,12,4.19,BR,1715473030
272,howrah,22.5892,88.3103,24.0,88,40,0.0,IN,1715473016
273,huarmey,-10.0681,-78.1522,19.04,88,80,3.8,PE,1715473032
274,khandyga,62.6667,135.6,5.8,37,6,0.22,RU,1715473033
275,deneysville,-26.8908,28.0971,14.67,37,0,1.94,ZA,1715473034
276,birobidzhan,48.8,132.95,7.68,96,100,5.33,RU,1715473035
277,tobelo,1.7284,128.0095,28.5,64,98,0.4,ID,1715473035
278,acarau,-2.8856,-40.12,26.09,84,62,4.47,BR,1715473036
279,tazovsky,67.4667,78.7,-1.42,91,100,2.26,RU,1715473037
280,puerto ayora,-0.7393,-90.3518,23.64,98,80,3.08,EC,1715473038
281,gomez farias,23.05,-99.15,35.44,27,4,5.79,MX,1715473039
282,college,64.8569,-147.8028,15.25,23,75,2.57,US,1715473039
283,mendi,-6.1761,143.6513,17.59,90,100,1.15,PG,1715473040
284,kihei,20.785,-156.4656,27.79,73,40,8.75,US,1715473041
285,jinzhou,41.1078,121.1417,18.11,36,0,6.82,CN,1715472876
286,pangody,65.85,74.4859,-0.95,92,75,5.64,RU,1715473043
287,tateyama,34.9833,139.8667,21.17,80,99,8.09,JP,1715473043
288,maumere,-8.6199,122.2111,27.76,75,53,1.97,ID,1715473044
289,queenstown,-31.8976,26.8753,9.39,83,53,1.29,ZA,1715473045
290,lib,8.3122,167.3766,27.95,80,100,4.55,MH,1715473046
291,talnakh,69.4865,88.3972,-3.22,97,100,4.45,RU,1715473046
292,belawan,3.7755,98.6832,26.16,89,100,2.21,ID,1715473047
293,taoudenni,22.6783,-3.9836,34.22,9,98,5.61,ML,1715473048
294,bonthe,7.5264,-12.505,27.79,87,100,2.0,SL,1715473049
295,motygino,58.1831,94.7592,7.66,80,100,2.24,RU,1715473050
296,hilo,19.7297,-155.09,28.49,93,100,4.12,US,1715473050
297,bamboo flat,11.7,92.7167,29.79,73,98,1.71,IN,1715473051
298,buarcos,40.166,-8.8768,15.93,92,54,5.22,PT,1715473052
299,kamen'-na-obi,53.7884,81.3423,8.29,50,7,1.7,RU,1715472887
300,chauk,20.8833,94.8167,30.43,50,0,3.93,MM,1715473053
301,paarl,-33.7338,18.9752,13.34,73,2,3.38,ZA,1715473054
302,masterton,-40.9597,175.6575,12.16,62,50,0.53,NZ,1715473055
303,uturoa,-16.7333,-151.4333,27.75,74,7,4.68,PF,1715473056
304,at taraf,25.3628,49.725,26.3,19,38,0.73,SA,1715473057
305,kargil,34.5667,76.1,3.76,65,28,1.68,IN,1715473057
306,gizo,-8.103,156.8419,28.14,80,94,3.1,SB,1715473058
307,pocahontas,36.2615,-90.9712,25.95,33,0,3.6,US,1715473059
308,chhatapur,26.2167,87.0167,25.09,79,14,4.84,IN,1715472933
309,keokuk,40.3973,-91.3849,23.29,33,0,3.6,US,1715473060
310,dhidhdhoo,6.8833,73.1,29.65,73,89,3.64,MV,1715473061
311,rundu,-17.9333,19.7667,15.58,32,0,2.38,NA,1715473062
312,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,75,0,3.58,RU,1715473063
313,bocana de paiwas,12.7857,-85.1227,30.83,55,100,4.9,NI,1715473065
314,ta`u,-14.2336,-169.5144,27.88,80,100,8.84,AS,1715473066
315,sanghar,26.0466,68.9481,28.67,57,51,3.63,PK,1715473067
316,angol,-37.8,-72.7167,8.12,89,82,0.81,CL,1715473067
317,kasserine,35.1676,8.8365,18.13,56,11,0.32,TN,1715473068
318,hammerfest,70.6634,23.6821,4.25,75,75,2.57,NO,1715473069
319,kidal,18.4411,1.4078,32.47,8,0,5.26,ML,1715473070
320,gurupi,-11.7292,-49.0686,24.11,44,2,0.71,BR,1715473071
321,mwene-ditu,-7.0,23.45,21.3,79,75,1.27,CD,1715473072
322,zaysan,47.4667,84.8667,13.68,83,97,2.44,KZ,1715473072
323,tsetserleg,47.475,101.4542,14.71,30,61,1.75,MN,1715473073
324,nadi,-17.8,177.4167,29.0,45,75,8.23,FJ,1715473074
325,pangkalpinang,-2.1333,106.1333,27.12,84,71,1.82,ID,1715473075
326,santa ana,33.7456,-117.8678,28.93,67,20,5.66,US,1715473075
327,sodra sandby,56.5667,16.6167,7.72,80,24,2.97,SE,1715473076
328,okhotsk,59.3833,143.3,0.88,92,100,2.15,RU,1715473077
329,monrovia,6.3005,-10.7969,27.53,82,99,2.12,LR,1715473078
330,haifa,32.8156,34.9892,19.0,76,8,0.45,IL,1715473080
331,kabardinka,44.6514,37.9428,13.34,83,100,5.81,RU,1715473080
332,baiyin,36.5583,104.2081,16.75,21,0,2.23,CN,1715473081
333,viqueque,-8.8673,126.3658,26.63,81,42,1.15,TL,1715473082
334,ballina,-28.8667,153.5667,18.21,87,100,3.55,AU,1715473083
335,rongelap,11.1635,166.8941,27.45,81,64,6.88,MH,1715473084
336,anloga,5.7947,0.8973,28.95,80,97,6.12,GH,1715473084
